Ticker,Date,Price,Volume
ACB,20140120,15,258622
ACB,20140117,15.1,339893
ACB,20140116,14.7,102763
ACB,20140115,14.8,140117
ACB,20140114,14.8,198230
ACB,20140113,14.6,27243
ACB,20140110,14.6,160305
ACB,20140109,14.6,72432
ACB,20140108,14.5,58852
ACB,20140107,14.6,152905
ACB,20140106,14.4,190009
ACB,20140103,14.5,98656
ACB,20140102,14.4,146982
ACB,20131231,14.3,165530
ACB,20131230,14.4,342032
ACB,20131227,14.4,152742
ACB,20131226,14.3,100900
ACB,20131225,14.3,44447
ACB,20131224,14.4,57644
ACB,20131223,14.4,118135
ACB,20131220,14.3,25834
ACB,20131219,14.4,160367
ACB,20131218,14.3,193040
ACB,20131217,14.3,255294
ACB,20131216,14.3,153519
ACB,20131213,14.3,212700
ACB,20131212,14.3,224490
ACB,20131211,14.2,293230
ACB,20131210,14.3,274763
ACB,20131209,14.3,69801
ACB,20131206,14.3,110214
ACB,20131205,14.4,115937
ACB,20131204,14.4,151610
ACB,20131203,14.3,200479
ACB,20131202,14.3,68027
ACB,20131129,14.3,78444
ACB,20131128,14.2,83793
ACB,20131127,14.4,168966
ACB,20131126,14.4,35428
ACB,20131125,14.4,128577
ACB,20131122,14.4,93432
ACB,20131121,14.4,156399
ACB,20131120,14.4,70621
ACB,20131119,14.4,18553
ACB,20131118,14.3,327663
ACB,20131115,14.3,48492
ACB,20131114,14.3,44718
ACB,20131113,14.3,88736
ACB,20131112,14.3,111137
ACB,20131111,14.2,125034
ACB,20131108,14.2,29826
ACB,20131107,14.2,25539
ACB,20131106,14.3,56986
ACB,20131105,14.4,58264
ACB,20131104,14.3,56332
ACB,20131101,14.4,69931
ACB,20131031,14.3,252293
ACB,20131030,14.3,84217
ACB,20131029,14.3,176107
ACB,20131028,14.2,136404
ACB,20131025,14.3,97476
ACB,20131024,14.3,229426
ACB,20131023,14.3,71794
ACB,20131022,14.3,180108
ACB,20131021,14.4,155857
ACB,20131018,14.4,47854
ACB,20131017,14.4,127347
ACB,20131016,14.5,161429
ACB,20131015,14.5,198445
ACB,20131014,14.4,301744
ACB,20131011,14.4,74508
ACB,20131010,14.4,170308
ACB,20131009,14.5,166482
ACB,20131008,14.3,199278
ACB,20131007,14.4,108737
ACB,20131004,14.3,108368
ACB,20131003,14.4,78753
ACB,20131002,14.3,112846
ACB,20131001,14.4,163710
ACB,20130930,14.2,94178
ACB,20130927,14.2,245255
ACB,20130926,14.2,82632
ACB,20130925,14.2,160131
ACB,20130924,14.2,340846
ACB,20130923,14.1,766055
ACB,20130920,14.2,184365
ACB,20130919,14.1,330829
ACB,20130918,14.1,200256
ACB,20130917,14.1,161070
ACB,20130916,14.1,78466
ACB,20130913,14.1,55773
ACB,20130912,14,209898
ACB,20130911,14.2,74798
ACB,20130910,14.1,29000
ACB,20130909,14,176700
ACB,20130906,14.1,58281
ACB,20130905,14,126600
ACB,20130904,13.9,79730
ACB,20130903,14,55063
ACB,20130830,14.1,204806
ACB,20130829,13.9,382496
ACB,20130828,13.9,314841
ACB,20130827,14.2,85470
ACB,20130826,14.2,59674
ACB,20130823,14.2,258299
ACB,20130822,14.2,198081
ACB,20130821,14.3,136103
ACB,20130820,14.3,91341
ACB,20130819,14.3,137777
ACB,20130816,14.2,191415
ACB,20130815,14.3,75688
ACB,20130814,14.4,43973
ACB,20130813,14.2,161424
ACB,20130812,14.2,202059
ACB,20130809,14.2,410733
ACB,20130808,14.3,386989
ACB,20130807,14.5,90113
ACB,20130806,14.4,293456
ACB,20130805,14.4,366503
ACB,20130802,14.4,130684
ACB,20130801,14.4,654000
ACB,20130731,14.5,468415
ACB,20130730,14.6,195753
ACB,20130729,14.6,152682
ACB,20130726,14.6,403600
ACB,20130725,14.5,231700
ACB,20130724,14.6,413100
ACB,20130723,14.7,150900
ACB,20130722,14.6,423700
ACB,20130719,14.6,228500
ACB,20130718,14.7,232100
ACB,20130717,14.7,450900
ACB,20130716,14.6,68100
ACB,20130715,14.6,124200
ACB,20130712,14.6,231400
ACB,20130711,14.6,80300
ACB,20130710,14.6,132200
ACB,20130709,14.6,341200
ACB,20130708,14.5,62200
ACB,20130705,14.6,309500
ACB,20130704,14.8,298600
ACB,20130703,14.8,374100
ACB,20130702,14.8,339900
ACB,20130701,14.7,341800
ACB,20130628,14.7,675700
ACB,20130627,14.7,778000
ACB,20130626,14.7,336600
ACB,20130625,14.7,1440600
ACB,20130624,14.9,578000
ACB,20130621,14.8,230600
ACB,20130620,14.8,505600
ACB,20130619,14.9,286800
ACB,20130618,14.8,422300
ACB,20130617,14.8,433100
ACB,20130614,15,354200
ACB,20130613,15.1,281500
ACB,20130612,15.2,283000
ACB,20130611,15.3,399200
ACB,20130610,15.3,402400
ACB,20130607,15.4,597700
ACB,20130606,15.2,489200
ACB,20130605,15.2,299300
ACB,20130604,15.1,521500
ACB,20130603,15.4,1074900
ACB,20130531,15.1,684300
ACB,20130530,15.1,319200
ACB,20130529,15.2,673900
ACB,20130528,15.2,660500
ACB,20130527,15.1,678900
ACB,20130524,15.2,139700
ACB,20130523,15.1,502700
ACB,20130522,15.3,1511400
ACB,20130521,14.7,229800
ACB,20130520,14.6,339800
ACB,20130517,14.7,212300
ACB,20130516,14.7,207300
ACB,20130515,14.3,217400
ACB,20130514,14.3,438800
ACB,20130513,14.4,164800
ACB,20130510,14.4,181700
ACB,20130509,14.3,324500
ACB,20130508,14.1,329000
ACB,20130507,14.3,367200
ACB,20130506,14.2,389900
ACB,20130503,14.1,158400
ACB,20130502,14.1,181300
ACB,20130426,14,164700
ACB,20130425,14,71200
ACB,20130424,14,59500
ACB,20130423,14,127600
ACB,20130422,13.9,302400
ACB,20130418,13.9,447500
ACB,20130417,13.9,320700
ACB,20130416,14,392200
ACB,20130415,14.1,347300
ACB,20130412,14.5,253600
ACB,20130411,14.7,933300
ACB,20130410,14,157400
ACB,20130409,14,93600
ACB,20130408,14.1,412400
ACB,20130405,14.2,328400
ACB,20130404,14.1,264100
ACB,20130403,14.3,103700
