Ticker,Date,Price
ACB,20120315,22
ACB,20120314,21.5
ACB,20120313,21.6
ACB,20120312,20.9
ACB,20120309,21.6
ACB,20120308,21.7
ACB,20120307,22.9
ACB,20120306,23.7
ACB,20120305,24.4
ACB,20120302,22.9
ACB,20120301,21.8
ACB,20120229,20.6
ACB,20120228,20.2
ACB,20120227,20.7
ACB,20120224,20.1
ACB,20120223,20.4
ACB,20120222,20.4
ACB,20120221,19.8
ACB,20120220,20.1
ACB,20120217,19
ACB,20120216,18.7
ACB,20120215,18.4
ACB,20120214,19.1
ACB,20120213,19.5
ACB,20120210,20.4
ACB,20120209,20.5
ACB,20120208,20.1
ACB,20120207,19.7
ACB,20120206,18.8
ACB,20120203,18.8
ACB,20120202,19.1
ACB,20120201,18.5
ACB,20120131,18.6
ACB,20120130,18.3
ACB,20120120,18
ACB,20120119,17.9
ACB,20120118,17.6
ACB,20120117,17.6
ACB,20120116,17.4
ACB,20120113,17.2
ACB,20120112,17.1
ACB,20120111,17.1
ACB,20120110,17.2
ACB,20120109,17.1
ACB,20120106,17.2
ACB,20120105,17.3
ACB,20120104,16.9
ACB,20120103,16.7
ACB,20111230,17.3
ACB,20111229,17.1
ACB,20111228,17.2
ACB,20111227,17
ACB,20111226,17
ACB,20111223,16.9
ACB,20111222,16.8
ACB,20111221,17
ACB,20111220,17.1
ACB,20111219,16.9
ACB,20111216,16.3
ACB,20111215,16.1
ACB,20111214,16.3
ACB,20111213,16.3
ACB,20111212,16.3
ACB,20111209,16.4
ACB,20111208,16.4
ACB,20111207,16.2
ACB,20111206,15.9
ACB,20111205,15.9
ACB,20111202,15.7
ACB,20111201,15.7
ACB,20111130,15.7
ACB,20111129,15.9
ACB,20111128,15.9
ACB,20111125,15.9
ACB,20111124,15.9
ACB,20111123,16
ACB,20111122,16.1
ACB,20111121,16.1
ACB,20111118,16.1
ACB,20111117,16.1
ACB,20111116,16.2
ACB,20111115,16.1
ACB,20111114,15.9
ACB,20111111,16
ACB,20111110,16
ACB,20111109,16
ACB,20111108,15.9
ACB,20111107,15.9
ACB,20111104,16.2
ACB,20111103,16.3
ACB,20111102,16.9
ACB,20111101,17
ACB,20111031,17.2
ACB,20111028,17.2
ACB,20111027,17
ACB,20111026,17
ACB,20111025,17
ACB,20111024,17
ACB,20111021,17.1
ACB,20111020,17
ACB,20111019,17
ACB,20111018,17
ACB,20111017,17
ACB,20111014,17.1
ACB,20111013,17.1
ACB,20111012,17.4
ACB,20111011,17.6
ACB,20111010,17.4
ACB,20111007,17.7
ACB,20111006,17.4
ACB,20111005,17.2
ACB,20111004,17.3
ACB,20111003,17.3
ACB,20110930,17.2
ACB,20110929,17.1
ACB,20110928,17.2
ACB,20110927,17.1
ACB,20110926,17
ACB,20110923,17.1
ACB,20110922,17.3
ACB,20110921,17.2
ACB,20110920,17.1
ACB,20110919,17.3
ACB,20110916,17.1
ACB,20110915,17.4
ACB,20110914,17.8
ACB,20110913,18.1
ACB,20110912,18.1
ACB,20110909,18.1
ACB,20110908,18.6
ACB,20110907,18.9
ACB,20110906,18
ACB,20110905,18.6
ACB,20110901,18
ACB,20110831,17
ACB,20110830,16.9
ACB,20110829,16.7
ACB,20110826,16.7
ACB,20110825,16.7
ACB,20110824,16.7
ACB,20110823,16.7
ACB,20110822,16.7
ACB,20110819,16.6
ACB,20110818,16.7
ACB,20110817,16.6
ACB,20110816,16.6
ACB,20110815,16.6
ACB,20110812,16.6
ACB,20110811,16.5
ACB,20110810,16.6
ACB,20110809,16.5
ACB,20110808,16.6
ACB,20110805,16.7
ACB,20110804,16.7
ACB,20110803,16.6
ACB,20110802,16.6
ACB,20110801,16.6
ACB,20110729,16.7
ACB,20110728,16.7
ACB,20110727,16.7
ACB,20110726,16.7
ACB,20110725,16.7
ACB,20110722,16.7
ACB,20110721,16.7
ACB,20110720,16.7
ACB,20110719,16.7
ACB,20110718,16.7
ACB,20110715,16.7
ACB,20110714,16.7
ACB,20110713,16.7
ACB,20110712,16.7
ACB,20110711,16.7
ACB,20110708,16.7
ACB,20110707,16.7
ACB,20110706,16.7
ACB,20110705,16.7
ACB,20110704,16.7
ACB,20110701,16.6
ACB,20110630,16.7
ACB,20110629,16.6
ACB,20110628,16.6
ACB,20110627,16.6
ACB,20110624,16.6
ACB,20110623,16.6
ACB,20110622,16.7
ACB,20110621,16.7
ACB,20110620,16.7
ACB,20110617,16.7
ACB,20110616,16.7
ACB,20110615,16.5
ACB,20110614,16.6
ACB,20110613,16.6
ACB,20110610,16.6
ACB,20110609,16.5
ACB,20110608,16.5
ACB,20110607,16.7
ACB,20110606,16.4
ACB,20110603,16.6
ACB,20110602,17
ACB,20110601,16.7
ACB,20110531,16.4
ACB,20110530,16.3
ACB,20110527,16.3
ACB,20110526,16.7
ACB,20110525,16.3
ACB,20110524,16.9
ACB,20110523,17.1
ACB,20110520,17.2
ACB,20110519,17.4
ACB,20110518,17.4
ACB,20110517,17.4
ACB,20110516,17.5
ACB,20110513,17.5
ACB,20110512,17.4
ACB,20110511,17.5
ACB,20110510,17.4
ACB,20110509,17.4
ACB,20110506,17.4
ACB,20110505,17.4
ACB,20110504,17.3
ACB,20110429,17.3
ACB,20110428,17.3
ACB,20110427,17.4
ACB,20110426,17.4
ACB,20110425,17.4
ACB,20110422,17.7
ACB,20110421,17.8
ACB,20110420,17.8
ACB,20110419,17.8
ACB,20110418,17.8
ACB,20110415,17.8
ACB,20110414,17.8
ACB,20110413,17.7
ACB,20110408,17.8
ACB,20110407,17.8
ACB,20110406,17.8
ACB,20110405,17.7
ACB,20110404,17.7
ACB,20110401,17.8
ACB,20110331,17.7
ACB,20110330,17.7
ACB,20110329,17.7
ACB,20110328,17.7
ACB,20110325,17.7
ACB,20110324,17.6
ACB,20110323,17.7
ACB,20110322,17.6
ACB,20110321,17.7
ACB,20110318,17.7
ACB,20110317,17.3
ACB,20110316,17.4
ACB,20110315,17.4
ACB,20110314,17.5
ACB,20110311,17.8
ACB,20110310,17.7
ACB,20110309,17.4
ACB,20110308,17.4
ACB,20110307,17.2
ACB,20110304,17.5
ACB,20110303,17
ACB,20110302,16.8
ACB,20110301,17.3
ACB,20110228,17.3
ACB,20110225,17.4
ACB,20110224,17.2
ACB,20110223,17.3
ACB,20110222,17.2
ACB,20110221,17
ACB,20110218,18.2
ACB,20110217,18.3
ACB,20110216,18.5
ACB,20110215,18.7
ACB,20110214,18.9
ACB,20110211,19
ACB,20110210,18.9
ACB,20110209,19.1
ACB,20110208,19
ACB,20110128,18.8
ACB,20110127,18.9
ACB,20110126,18.9
ACB,20110125,18.7
ACB,20110124,19
ACB,20110121,19.2
ACB,20110120,18.5
ACB,20110119,18.3
ACB,20110118,18.4
ACB,20110117,18.6
ACB,20110114,18.5
ACB,20110113,18.5
ACB,20110112,18.4
ACB,20110111,18.2
ACB,20110110,18.7
ACB,20110107,19
ACB,20110106,19.3
ACB,20110105,19.1
ACB,20110104,19.5
ACB,20101231,20.2
ACB,20101230,19.4
ACB,20101229,19.5
ACB,20101228,19.7
ACB,20101227,19.2
ACB,20101224,19.2
ACB,20101223,19.2
ACB,20101222,19.8
ACB,20101221,19.8
ACB,20101220,20.3
ACB,20101217,21.2
ACB,20101216,20.9
ACB,20101215,22.6
ACB,20101214,21
ACB,20101213,20.1
ACB,20101210,19.1
ACB,20101209,18.4
ACB,20101208,18.1
ACB,20101207,18.5
ACB,20101206,18.6
ACB,20101203,18.6
ACB,20101202,17.7
ACB,20101201,17.2
ACB,20101130,17.3
ACB,20101129,16.5
ACB,20101126,16.4
ACB,20101125,16.4
ACB,20101124,16.3
ACB,20101123,16.1
ACB,20101122,15.9
ACB,20101119,15.9
ACB,20101118,16
ACB,20101117,15.8
